cell	trials	stims	duration	spikes	rate	eo.cc	area
ww1211_1_B	20	10	40712	2326	5.71	0.691	L2b
blugr1612_2	20	14	40712	12839	22.5	0.629	OV
oo2015_9_A	20	10	40712	5926	14.6	0.776	L2a
gg0304_11_A	20	10	42990	3992	9.29	0.661	mld
pipu1018_7_A	20	10	42990	3457	8.04	0.436	mld
yy1617_3_A	20	10	40712	2103	5.17	0.479	mld
oo0108_3_A	20	10	40712	1414	3.47	0.6	mld
yy1617_5_A	20	10	40712	6849	16.8	0.5	mld
yy1617_5_B	20	10	40712	11446	28.1	0.805	L2a
blabla0713_2_A	20	10	40712	1994	4.9	0.774	mld
obla17102_10	20	10	40712	4254	10.4	0.55	OV
obla1305_8	20	14	40712	5777	10.1	0.523	OV
blabla0713_2_B	20	10	40712	9705	23.8	0.729	L1
pupu1203_4_A	20	10	40712	9155	22.5	0.912	mld
obla1305_4	20	14	40712	10565	18.5	0.821	OV
obla1305_5	20	14	40712	12268	21.5	0.826	OV
obla1305_6	20	14	40712	5849	10.3	0.671	OV
obla1305_7	20	14	40712	28742	50.4	0.872	OV
pipu1018_9_A	20	10	42990	3690	8.58	0.535	mld
blahp9904_7	20	14	40712	15188	26.6	0.697	OV
blahp9904_6	20	14	40712	12920	22.7	0.611	OV
yg0111_3_B	20	10	42990	4011	9.33	0.584	L3
blahp9904_9	20	14	40712	25053	44	0.477	OV
blahp9904_8	20	14	40712	14279	25.1	0.684	OV
oo1712_4_B	20	10	40712	5556	13.6	0.705	L3
gg0116_1_A	20	10	40712	3942	9.68	0.888	mld
oo0108_1_B	20	10	40712	3993	9.81	0.576	L2b
blublu0809_1_A	20	10	40712	2098	5.15	0.794	mld
ww1211_5_B	20	10	40712	7032	17.3	0.809	L2b
ww1211_5_A	20	10	40712	901	2.21	0.445	L3
gg0116_3_A	20	10	40712	5659	13.9	0.647	mld
yy4344_1_B	20	10	40712	2538	6.23	0.755	CM
ww1211_3_B	20	10	40712	7135	17.5	0.782	L2b
gg0116_5_A	20	10	40358	3545	8.78	0.726	mld
glb5202_9	20	10	40712	14107	34.7	0.69	OV
pipu1018_10_A	20	10	42990	5798	13.5	0.637	mld
pipu1018_5_A	20	10	42990	7502	17.5	0.725	mld
glb5202_7	20	10	40712	7100	17.4	0.506	OV
pipu1018_3_B	20	10	42990	3715	8.64	0.57	L3
pipu1018_1_A	20	10	42990	1627	3.78	0.502	mld
pipu1018_1_B	20	10	42990	5873	13.7	0.423	L2a
oo1920_9_A	20	10	40712	3114	7.65	0.892	mld
oo1920_9_B	20	10	40712	3134	7.7	0.446	CM
gr1070_4	20	14	40712	12598	22.1	0.768	OV
gr1070_5	20	14	40712	11318	19.9	0.608	OV
gr1070_1	20	14	40712	16101	28.2	0.794	OV
gr1070_2	20	14	40712	10163	17.8	0.67	OV
gr1070_3	20	14	40712	7866	13.8	0.624	OV
blabla1515_2_B	20	10	40712	6961	17.1	0.833	L2a
blabla1515_2_A	20	10	40712	2639	6.48	0.662	mld
pipu0617_10_B	20	10	42990	5973	13.9	0.635	L2a
pipu0617_10_A	20	10	42990	6730	15.7	0.562	mld
blabla0713_6_A	20	10	40712	2389	5.87	0.818	mld
blabla1515_4_A	20	10	40712	3750	9.21	0.642	mld
blabla1515_4_B	20	10	40712	8869	21.8	0.72	L3
blabla0713_6_B	20	10	40712	5640	13.9	0.771	L2a
blabla0903_4_B	20	10	40712	1991	4.89	0.7	L3
yg0616_4_B	20	10	42990	2910	6.77	0.698	CM
blabla0713_4_B	20	10	40712	6705	16.5	0.617	L2a
blabla0713_4_A	20	10	40712	2306	5.66	0.659	mld
yg0111_8_B	20	10	42990	3102	7.22	0.524	L3
yy0203_3_A	20	10	40712	4493	11	0.819	L2b
blabla1904_3_B	20	10	40712	4139	10.2	0.853	L2a
oo1920_4_A	20	10	40712	1453	3.57	0.624	mld
oo1920_6_B	20	10	40712	6195	15.2	0.79	L2a
yg0616_8_B	20	10	42990	5749	13.4	0.642	L2a
blabla1904_1_B	20	10	40712	1401	3.44	0.5	CM
blabla1904_1_A	20	10	40712	6698	16.5	0.642	mld
