Model,RF,NoiseType,SNR,MinRate,MaxRate,AvgRate,MIBins,MI,Total,Noise,Selectivity,RFType,Latency,Freq,SigmaT,OmegaT,SigmaF,OmegaF,Pt
phasic,0,red,4,0,34.8513011152,1.54265060240964,15,1.3687155093,2.62557440493,1.25685889563,0.150795471323,BB,0.00931335571656,4600.23581255083,0.00921102550893,20.8445845486,3120.44659960073,6.40933897172253e-05,1.57079632679
phasic,1,red,4,0,31.5318156019,2.10361445783133,15,1.71426646634,3.00827375859,1.29400729225,0.0893560916114,BB,0.0170295653291,4271.8213999531,0.00739695232978,25.9566361171,1716.74488535063,0.000116499546150768,1.57079632679
phasic,10,red,4,0,28.4774529766,1.38843373493976,15,1.5909657092,2.7994350738,1.2084693646,0.328032713728,NB,0.0166212250794,3308.1725030879,0.00914970706276,20.984278369,496.185205215,0.000806150598195,0
phasic,11,red,4,0,29.4297254942,1.25686746987952,15,1.48339782726,2.65216790242,1.16877007516,0.357915026716,NB,0.00670269815782,3570.89050477556,0.00390212476346,49.2039623637,384.092922454,0.00104141465936,0
phasic,12,red,4,0,13.7951965126,0.36144578313253,15,0.967555052112,1.34213992301,0.374584870896,0.755367127716,NB,0.0130214359728,3643.86651893304,0.00313566172903,61.2310946116,797.049999713,0.000501850574172,0
phasic,13,red,4,0,31.5318156019,0.975421686746988,15,1.23506052912,2.18665205651,0.951591527395,0.472783116301,NB,0.0147318236058,5130.64956798955,0.00518930323935,36.9991868164,464.333103069,0.000861450534878,0
phasic,14,red,4,0,31.5318156019,1.8221686746988,15,1.60679683765,3.01351466615,1.4067178285,0.305946500349,NB,0.00830696052455,4118.77903691323,0.00592195571662,32.4217216723,329.907966935,0.00121245935258,0
phasic,15,red,4,0,25.9676183799,1.49831325301205,15,1.67576528641,2.95974032191,1.2839750355,0.146934138435,BB,0.0133570710788,4508.92705906928,0.00484017126835,39.6680177942,1749.10516335113,0.000114344182494332,1.57079632679
phasic,16,red,4,0,14.2387264883,0.618313253012048,15,1.41677878831,2.33146040714,0.914681618832,0.394781046291,BB,0.0114250910313,1707.28981176117,0.00361787438941,53.0698358578,2033.16518687296,9.83687903429053e-05,1.57079632679
phasic,17,red,4,0,18.3936799316,1.22024096385542,15,2.01466551259,3.11624228346,1.10157677087,0.191766843901,BB,0.0129919541768,1218.05788179024,0.00764150369372,25.1259448004,2572.65564478605,7.77406802987164e-05,1.57079632679
phasic,18,red,4,0,26.4867919198,0.704096385542169,15,1.12109348776,1.98916545916,0.868071971395,0.564618008261,NB,0.0122141130105,7285.30353612133,0.00490479668388,39.1453534927,385.861676817,0.00103664091055,0
phasic,19,red,4,0,38.9514275698,1.92192771084337,15,1.38972151944,2.88253053442,1.49280901498,0.214793823929,NB,0.0111670880236,3489.30248653243,0.00366019562335,52.4562126611,259.952419117,0.00153874313368,0
phasic,2,red,4,0,27.5902661541,2.07132530120482,15,1.72899036868,3.07752337951,1.34853301083,0.086102748627,BB,0.0204858670682,4544.58340303892,0.0168086882595,11.422664103,1872.48101272634,0.00010681016183379,1.57079632679
phasic,20,red,4,0,33.108562978,2.36385542168675,15,1.57888004598,3.16710746693,1.58822742095,0.0946187831018,BB,0.0106424894056,4293.79753305647,0.00658833748686,29.1424051034,828.369047179894,0.000241438282467074,1.57079632679
phasic,21,red,4,0,31.5318156019,2.22072289156627,15,1.6533998641,3.01236981878,1.35896995468,0.0779108728582,BB,0.0149112315494,3833.20592446836,0.00951067760169,20.1878360345,1371.63035296751,0.000145811879685589,1.57079632679
phasic,22,red,4,0,23.2340657873,1.72915662650602,15,1.96507173124,3.14114582965,1.17607409842,0.115945219515,BB,0.0151278791983,1804.97402078248,0.00970405887734,19.7855353545,1880.33741590121,0.000106363888900303,1.57079632679
phasic,23,red,4,0,18.3935107694,0.51855421686747,15,1.07344029103,1.83796996433,0.764529673305,0.489013026376,BB,0.00958675448654,4038.71962159941,0.00317543731119,60.4641128714,2474.31691124747,8.08303896282899e-05,1.57079632679
phasic,24,red,4,0,25.9672812257,1.29156626506024,15,1.68584914996,2.84019713191,1.15434798195,0.155282110879,BB,0.00819517332914,2844.94982199273,0.00436561969417,43.9800105026,1504.59480667952,0.000132926153348474,1.57079632679
phasic,25,red,4,0,21.0212104013,0.534939759036145,15,0.971204871607,1.74195777683,0.77075290522,0.53277694906,BB,0.0108323557752,5540.3354547445,0.00303435008845,63.2754937313,1704.40924104968,0.00011734271041433,1.57079632679
phasic,26,red,4,0,27.5903930251,1.95469879518072,15,1.91554282081,3.19520132448,1.27965850367,0.233813893555,NB,0.0134223718626,1088.14539958587,0.00802070299526,23.9380513296,527.163812821,0.000758777424154,0
phasic,27,red,4,0,27.5902661541,1.63325301204819,15,1.71050455237,2.96951608963,1.25901153726,0.123236530725,BB,0.00995392955052,3544.66993404077,0.00762149159243,25.1919191501,2197.99927457189,9.09918407679888e-05,1.57079632679
phasic,28,red,4,0,25.9676183799,1.22843373493976,15,1.46481149122,2.73667806887,1.27186657765,0.229189883605,BB,0.0109189648183,6503.68007651196,0.00451592390377,42.5162168565,1516.08253531311,0.000131918939333138,1.57079632679
phasic,29,red,4,0,35.9317092201,1.58024096385542,15,1.28341359862,2.67759531272,1.3941817141,0.297997780922,NB,0.00963659671581,4697.59522891434,0.00483976194765,39.6713726991,306.745754447,0.00130401152812,0
phasic,3,red,4,0,25.9672812257,1.63855421686747,15,1.87838159481,2.98720249262,1.10882089781,0.120982471302,BB,0.0155170089809,2009.66656324206,0.00782623699515,24.532862999,2142.93890279082,9.33297723698672e-05,1.57079632679
phasic,30,red,4,0,13.7951965126,0.181204819277108,15,0.265075133027,0.465110606444,0.200035473417,0.831179099688,BB,0.0151670081871,6291.85802745766,0.00274970038554,69.8257893878,2235.27980794321,8.94742569987377e-05,1.57079632679
phasic,31,red,4,0,25.9672812257,1.76,15,1.80108378295,3.06689335615,1.2658095732,0.102938188259,BB,0.0140455650318,3499.94699699876,0.00560258677811,34.269884181,1604.48652378784,0.000124650470437012,1.57079632679
phasic,32,red,4,0,32.6995078724,1.54072289156626,15,1.45625467478,2.78181368435,1.32555900957,0.29796292401,NB,0.0147789298613,5475.5551500277,0.00746449301662,25.7217736787,363.484469231,0.00110045967259,0
phasic,33,red,4,0,20.0658158761,0.672771084337349,15,1.31889845556,1.98274064686,0.663842191304,0.611952297044,NB,0.00871687492405,4509.03496252781,0.00375114035515,51.1844350842,513.505995337,0.000778958772892,0
phasic,34,red,4,0,21.0212104013,1.10698795180723,15,1.64024002408,2.86138919919,1.22114917511,0.220539956236,BB,0.0102978843832,4686.04308047672,0.00446160879539,43.0338043529,2472.7408863323,8.08819076456693e-05,1.57079632679
phasic,35,red,4,0,21.0212104013,0.797590361445783,15,1.37701760368,2.42569696232,1.04867935864,0.311332697821,BB,0.0172703652917,3379.61172769711,0.00320231032297,59.9567126967,1537.93666667225,0.000130044366802669,1.57079632679
phasic,36,red,4,0,21.0212104013,0.493493975903614,15,0.924692408451,1.63838567988,0.713693271431,0.571583693397,BB,0.00988583364522,6281.64877890088,0.00383014688497,50.1286258116,2575.0973176888,7.76669676233845e-05,1.57079632679
phasic,37,red,4,0,25.9676183799,1.47566265060241,15,1.73721980977,2.90490599625,1.16768618647,0.210885776406,NB,0.0153503933777,2075.98999580286,0.0131363217304,14.615963581,512.538275727,0.00078042951901,0
phasic,38,red,4,0,28.4774529766,1.48096385542169,15,1.58664492615,2.83956342597,1.25291849982,0.31588451475,NB,0.00985464574272,3515.31497188628,0.00576152537414,33.3245082738,416.819713719,0.000959647509065,0
phasic,39,red,4,0,25.9676183799,1.30120481927711,15,1.63182518341,2.83781714571,1.2059919623,0.181214675744,BB,0.00822179986597,4331.68156185993,0.00487263712807,39.4037140369,2061.59958434523,9.70120490509898e-05,1.57079632679
phasic,4,red,4,0,19.1933053751,0.32,15,0.703819976879,1.08848002179,0.384660044908,0.769494043285,NB,0.0111968773681,4749.92699985674,0.00269712497902,71.1869125433,537.019441063,0.000744851991221,0
phasic,40,red,4,0,26.9174656668,0.59855421686747,15,1.10603415583,1.75799372326,0.651959567426,0.550860694843,NB,0.0135203035048,3810.79537809036,0.00339532082625,56.5484117188,614.617065841,0.000650811736658,0
phasic,41,red,4,0,38.9509218385,1.95325301204819,15,1.43602468781,2.72369597804,1.28767129023,0.0993854444189,BB,0.0139091918728,4157.27207891461,0.0061941098072,30.9971902301,1537.40001736096,0.000130089760466708,1.57079632679
phasic,42,red,4,0,25.9672812257,1.04530120481928,15,1.45525729261,2.44426254957,0.98900525696,0.360389259082,NB,0.012380191051,3792.60354824322,0.00774066701997,24.8040639786,843.29682023,0.000474328837017,0
phasic,43,red,4,0,25.9672812257,1.16915662650602,15,1.66805448856,2.75977764939,1.09172316082,0.175674475136,BB,0.011322898901,2637.27785082901,0.00419019735397,45.8212307872,1732.54220061221,0.000115437303593141,1.57079632679
phasic,44,red,4,0,13.7951965126,0.156626506024096,15,0.140100399139,0.234957242388,0.0948568432495,0.915898127441,BB,0.00747225672991,4789.94091632498,0.00211890585948,90.6128033678,2065.1015547861,9.68475373700039e-05,1.57079632679
phasic,45,red,4,0,22.0722535219,1.14072289156627,15,1.62442409504,2.8318017364,1.20737764136,0.220539874938,BB,0.0119929197076,4390.48255213398,0.00414408805229,46.3310618832,1897.84954748087,0.000105382431534403,1.57079632679
phasic,46,red,4,0,33.108562978,2.23421686746988,15,1.5969511475,3.10145375673,1.50450260923,0.107927104638,BB,0.0124919624267,5846.79361066085,0.00849317989268,22.6063738701,1600.38582140177,0.000124969864969699,1.57079632679
phasic,47,red,4,0,25.9676183799,1.99807228915663,15,1.85423187599,3.19950348559,1.34527160961,0.116632789962,BB,0.0170225449549,5958.85953692347,0.00895703305513,21.4356694698,2320.20590061655,8.61992463457032e-05,1.57079632679
phasic,48,red,4,0,20.0657152173,0.709879518072289,15,1.25380096638,1.99119131699,0.737390350616,0.574112018181,NB,0.0147354085601,2404.89879177922,0.00350902920055,54.7159881058,661.606832493,0.000604588677678,0
phasic,49,red,4,0,17.8964511337,0.956626506024096,15,1.58716897715,2.44092386091,0.853754883763,0.476998534768,NB,0.0170364697869,2768.71646317719,0.00781398510465,24.5713291526,977.467282124,0.000409220858145,0
phasic,5,red,4,0,31.5318156019,1.55710843373494,15,1.65378547819,2.86209635721,1.20831087902,0.179098372009,NB,0.0176077162172,3503.69477215887,0.0178627973557,10.7485964363,290.620395985,0.00137636589009,0
phasic,50,red,4,0,26.9173207576,0.929638554216867,15,1.2720169418,2.19959037103,0.927573429231,0.477246385133,NB,0.0187713213891,4889.38405223152,0.00648210736456,29.6199968933,549.184699488,0.000728352411079,0
phasic,51,red,4,0,31.5318156019,2.2766265060241,15,1.64792409469,3.03548828629,1.3875641916,0.0752777070628,BB,0.0161465945771,4168.19207059341,0.0105501701141,18.1987586857,1319.55501443893,0.000151566246053818,1.57079632679
phasic,52,red,4,0,27.5903169024,1.59469879518072,15,1.75217874935,2.9441876497,1.19200890034,0.125415886814,BB,0.0115204258503,2096.87442886765,0.00615770674429,31.1804390779,1598.02128410101,0.000125154778593899,1.57079632679
phasic,53,red,4,0,25.9672812257,1.0910843373494,15,1.50315456028,2.47793120982,0.974776649539,0.364503998308,NB,0.0105908062248,3950.55797629359,0.00768135056006,24.9956044186,838.293677811,0.000477159747935,0
phasic,54,red,4,0,27.5903169024,1.71710843373494,15,1.72688422528,2.99502768424,1.26814345896,0.109502294781,BB,0.0183536615134,2378.50151267097,0.00559405855908,34.3221290897,1322.9322043647,0.000151179326756237,1.57079632679
