cell	trials	duration	spikes	rate	eo.cc
st11_1_2_1	5	235816	1615	1.37	0.793
st268_1_1_4	10	58954	649	1.1	0.613
st268_1_2_1	10	58954	655	1.11	0.416
st268_1_4_4	10	58954	2897	4.91	0.529
st268_1_5_6	10	58954	879	1.49	0.42
st268_2_1_3	10	58954	3329	5.65	0.784
st268_3_1_2	10	58954	1636	2.78	0.511
st268_4_1_1	10	58954	2932	4.97	0.598
st268_4_2_2	10	58954	2322	3.94	0.659
st268_4_2_6	10	58954	3642	6.18	0.74
st268_4_2_7	10	58954	1227	2.08	0.543
st268_4_3_1	10	58954	1978	3.36	0.406
st268_4_3_4	10	58954	3543	6.01	0.653
st268_4_3_6	10	58954	2157	3.66	0.644
st268_4_3_7	10	58954	1243	2.11	0.567
st268_4_4_10	10	58954	1139	1.93	0.621
st268_4_4_11	10	58954	2846	4.83	0.674
st268_5_1_2	10	119835	6578	5.49	0.774
st268_5_2_1	10	119835	647	0.54	0.758
st268_5_3_4	10	58954	1240	2.1	0.642
st268_6_1_1	20	58954	5420	4.6	0.898
st268_6_2_1	20	58954	1760	1.49	0.588
st268_6_2_8	10	58954	2068	3.51	0.788
st268_6_3_4	10	58954	4230	7.18	0.532
st268_6_4_1	10	119835	2073	1.73	0.54
st268_6_4_2	10	119835	1572	1.31	0.424
st268_6_4_3	10	119835	3361	2.8	0.424
st268_7_1_4	10	58954	1488	2.52	0.735
st268_8_2_1	10	58954	2562	4.35	0.592
st268_8_2_2	10	58954	883	1.5	0.435
st268_8_3_1	10	58954	3543	6.01	0.643
st268_8_5_1	10	60881	1423	2.34	0.67
st348_1_1_2	10	58954	3336	5.66	0.649
st348_1_2_2	10	58954	10385	17.6	0.705
st348_1_3_1	10	58954	886	1.5	0.675
st348_1_4_1	10	60881	3303	5.43	0.683
st348_1_4_3	10	60881	2098	3.45	0.78
st348_1_5_1	20	58954	1431	1.21	0.717
st348_1_6_2	10	60881	510	0.838	0.67
st348_1_6_6	10	60881	3569	5.86	0.755
st348_1_7_1	10	58954	994	1.69	0.729
st348_1_7_2	10	58954	504	0.855	0.582
st348_1_7_7	10	58954	2980	5.05	0.752
st348_1_9_1	10	60881	1077	1.77	0.613
st348_1_9_2	10	60881	1134	1.86	0.594
st348_1_9_3	10	60881	1059	1.74	0.556
st348_1_9_4	10	60881	587	0.964	0.566
st348_1_9_5	10	60881	590	0.969	0.64
st348_2_1_1	10	58954	989	1.68	0.638
st348_2_3_2	10	58954	3245	5.5	0.514
st348_2_3_5	10	58954	982	1.67	0.485
st348_2_3_7	7	58954	902	2.19	0.533
st348_2_4_1	10	60881	1477	2.43	0.539
st348_2_4_6	10	60881	6369	10.5	0.688
st348_2_5_2	10	58954	957	1.62	0.53
st348_2_6_2	10	60881	2056	3.38	0.638
st348_2_6_3	10	60881	3862	6.34	0.554
st348_2_6_7	10	60881	595	0.977	0.527
st348_2_7_1	10	58954	1110	1.88	0.803
st348_2_7_3	10	58954	1192	2.02	0.816
st348_2_7_6	10	58954	3878	6.58	0.603
st348_2_7_7	10	58954	2583	4.38	0.403
st348_3_1_1	10	58954	2413	4.09	0.639
st348_3_2_4	10	58954	1045	1.77	0.713
st348_3_2_5	10	58954	522	0.885	0.646
st348_3_2_6	10	58954	1151	1.95	0.423
st348_4_1_3	10	58954	834	1.41	0.527
st348_4_2_2	10	58954	3159	5.36	0.825
st348_4_3_1	10	58954	3250	5.51	0.575
st348_4_3_3	10	58954	4339	7.36	0.839
st348_4_3_6	10	58954	2783	4.72	0.402
st348_4_4_1	10	58954	1270	2.15	0.834
st348_4_4_2	10	58954	5930	10.1	0.734
st348_4_5_2	10	58954	1586	2.69	0.481
st348_4_6_1	20	58954	1103	0.935	0.725
st348_4_6_2	20	58954	717	0.608	0.69
st348_4_6_4	20	58954	1043	0.885	0.681
st348_5_2_1	20	58954	3696	3.13	0.666
st348_5_3_2	10	58954	5076	8.61	0.552
st348_5_4_4	10	58954	1251	2.12	0.46
st348_6_3_5	10	58954	603	1.02	0.493
st348_6_3_7	10	58954	1673	2.84	0.521
st348_6_4_2	10	58954	628	1.07	0.625
st348_6_5_1	10	58954	1562	2.65	0.627
st348_6_6_1	10	60881	896	1.47	0.573
st348_6_6_2	10	60881	719	1.18	0.504
st348_6_6_3	10	60881	1991	3.27	0.566
st348_6_6_5	10	60881	2419	3.97	0.646
st348_6_6_6	10	60881	2670	4.39	0.698
st348_6_7_3	10	58954	7185	12.2	0.578
st348_6_7_4	10	58954	992	1.68	0.72
st348_6_7_5	10	58954	1068	1.81	0.668
st348_6_8_5	10	58954	775	1.31	0.519
st348_6_8_6	10	58954	1286	2.18	0.689
st358_4_2_1	5	192453	11069	11.5	0.447
st358_4_2_2	5	192453	1116	1.16	0.494
st358_4_3_1	5	192453	11872	12.3	0.432
st358_4_3_2	5	192453	2818	2.93	0.569
st358_5_1_1	15	192453	3099	1.07	0.84
st358_5_2_1	5	192453	8517	8.85	0.583
st376_2_2_1	5	76720	8941	23.3	0.626
st376_2_3_1	5	115536	3933	6.81	0.47
st376_2_5_1	5	115536	816	1.41	0.479
st376_4_3_1	5	115536	8080	14	0.537
st376_4_3_7	5	115536	4406	7.63	0.475
st376_4_4_1	5	120280	4402	7.32	0.405
st376_4_4_5	5	120280	6796	11.3	0.457
st376_4_4_6	5	120280	7504	12.5	0.48
st376_5_5_2	5	120280	3926	6.53	0.641
st418_1_3_3	5	115536	1037	1.8	0.588
st418_1_4_2	5	120280	8029	13.4	0.663
st418_1_4_3	5	120280	530	0.881	0.678
st418_1_5_1	5	115536	2559	4.43	0.802
st418_1_5_2	5	115536	2178	3.77	0.449
st418_2_2_1	5	76492	1465	3.83	0.416
st418_2_3_1	5	115536	1828	3.16	0.47
st418_4_1_1	5	115536	1952	3.38	0.612
st418_4_1_2	5	115536	3130	5.42	0.45
st418_4_2_1	5	120280	1081	1.8	0.58
st418_4_4_2	5	115536	2885	4.99	0.463
st418_4_6_2	5	115536	4369	7.56	0.576
st418_5_3_1	5	115536	1571	2.72	0.773
st49_1_2_1	30	58954	2287	1.29	0.778
st49_1_2_2	20	58954	21044	17.8	0.832
st49_2_1_2	20	58954	2205	1.87	0.867
st49_2_1_4	10	58954	1219	2.07	0.409
st49_2_1_5	10	58954	2698	4.58	0.779
st49_2_3_1	10	58954	675	1.14	0.56
st49_2_4_3	30	58954	503	0.284	0.595
st49_2_5_2	10	58954	961	1.63	0.427
st49_2_5_4	40	58954	19786	8.39	0.589
st49_2_6_2	20	58954	7328	6.22	0.892
st49_2_6_4	30	58954	6004	3.39	0.701
st49_2_7_1	30	58954	10760	6.08	0.702
st49_2_7_7	10	58954	2115	3.59	0.563
st49_2_9_1	20	58954	13182	11.2	0.698
st49_4_10_3	10	58954	737	1.25	0.583
st49_4_1_1	10	58954	597	1.01	0.546
st49_4_11_1	10	58954	1078	1.83	0.579
st49_4_2_3	10	58954	1080	1.83	0.431
st49_4_3_1	10	58954	13799	23.4	0.502
st49_4_4_1	30	58954	9470	5.35	0.828
st49_4_4_2	40	58954	14304	6.07	0.864
st49_4_5_1	30	58954	9578	5.42	0.642
st49_4_6_2	30	58954	6376	3.61	0.573
st49_4_6_8	10	58954	885	1.5	0.47
st49_4_7_1	20	58954	3664	3.11	0.68
st49_5_1_1	10	58954	583	0.989	0.713
st49_5_1_3	10	58954	1931	3.28	0.455
st49_5_2_1	20	58954	1442	1.22	0.831
st49_5_3_1	10	58954	4053	6.87	0.636
st49_5_3_2	10	58954	3923	6.65	0.647
st49_5_4_2	10	58954	3294	5.59	0.768
st49_5_5_1	10	58954	5694	9.66	0.644
st49_5_5_3	10	58954	830	1.41	0.453
st49_5_6_1	18	58954	7406	6.98	0.739
