cell,region,w,a1,a2,corr,eo
blabla1904_5_A,mld,5.60042522933,-0.00818835519187,-0.0828283753735,0.5047660259160385,0.7252025871219268
pipu1018_1_A,mld,6.97975883366,-0.348676708428,-0.21727029587,0.11423977962874082,0.2798741918434902
pipu0617_2_A,mld,6.57781885808,0.149726279371,-0.191803891127,0.18863816211021792,0.23875596823021272
blublu0809_2_A,mld,6.33530306258,-0.436629691011,-0.137391306687,0.23687482371824023,0.4186308284520616
gg0304_15_A,mld,6.58571956859,0.957183841024,-0.396061844826,0.48853091245391994,0.5003362680798293
lghp1616_5_A,mld,7.64114627613,-0.194806455247,-0.0793179035067,0.2926227475890309,0.5111072816223469
oo1415_4_A,mld,5.94016472846,0.169267250274,-0.0032062678783,0.5054176169138875,0.5496170767162477
oo0108_3_A,mld,7.69972100611,0.308289169513,-0.00148153186728,0.4878547198972865,0.4582857240256751
pipu0617_3_A,mld,6.02547109599,0.141057250781,-0.0689068036986,0.2784550074310883,0.3178342782734012
blabla0713_4_A,mld,5.028310368,-0.247778641045,0.00592547148919,0.4071795840119938,0.640400886692978
oo1010_4_A,mld,5.13082867228,2.06496496842,-0.315695430391,-0.030757907714613446,0.3768471581824297
gg0304_6_A,mld,7.1542837317,0.23486121799,-0.0899523412984,0.5153752240044319,0.46619360603320154
lghp1616_6_A,mld,6.35176971733,0.00505538173871,-0.0239352677972,0.47008113384334166,0.5941123559858613
blabla1819_1_A,mld,5.33535846797,3.2121246284,-0.0614976879305,0.2880547987880687,0.43919300465391387
oo0909_6_A,mld,5.26973540936,-0.0684952176598,-0.109993123031,0.315403153887752,0.5146791437305318
oo1712_8_A,mld,6.34251370913,0.0646734296016,-0.0800755152681,0.61771297751061,0.5863419865264216
blublu0809_3_A,mld,4.66738631016,1.68400552624,0.117368775226,0.25943954579060513,0.31427142402110647
oo1415_6_A,mld,7.76362973987,2.5766195796,-0.122406342818,0.5513439281890572,0.6169193261531692
pipi1112_1_A,mld,4.10050401986,1.24833094347,-0.099476619308,0.18280733175189806,0.7696413212859915
gg0304_10_A,mld,8.0640873553,-0.336533154884,-0.198898026904,0.4472561916537275,0.7601817990993935
oo1920_9_A,mld,7.70846559748,-0.560690477066,-0.0386991205935,0.46163115367245694,0.663215685598666
oo0108_4_A,mld,9.68577224193,4.00530840124,-0.549803401762,0.4276031601640202,0.6218799921083188
pipu1018_11_A,mld,5.45409929956,0.0214559531606,-0.0292612795879,0.24395173193222333,0.3315741346215475
blublu0809_1_A,mld,-2247.80045775,-1252.8620805,371.981524255,-0.08458128337031649,0.5321321145172462
blabla1904_3_A,mld,5.53063723655,-0.424400429878,-0.131028055427,0.26026995469198955,0.5710743039842262
gg0318_4_A,mld,83.5408655201,210.052417079,523.924032868,-0.0084993550817003,0.5072039053776143
oo1920_4_A,mld,7.97221380821,1.02500501039,-0.131829312459,0.5701660576270275,0.46063716506368063
blublu0809_5_A,mld,5.41553235749,0.359838898235,-0.0380311083078,0.52179592970351,0.5000186611821568
lghp1616_10_A,mld,7.63594117851,0.202455721167,-0.10489975385,0.6697247557733587,0.6721588822458251
gg0304_9_A,mld,9.61530645116,-0.245142093899,-0.050631181988,0.5643471177194579,0.7714167081219223
oo0108_2_A,mld,6.30306509524,1.75252800239,-0.0847100709963,0.6259113217041594,0.6465129914769399
oo1415_2_A,mld,6.76967092293,-0.201032471518,-0.312818492394,0.1246961319757133,0.45425959082904344
lghp1616_7_A,mld,5.54106420576,0.178736348451,-0.109117736973,0.6532119544090788,0.5131835638264556
blabla1515_8_A,mld,5.77140043005,0.444915850299,-0.0574633639473,0.33743892201433706,0.6933554880688635
gg0116_4_A,mld,5.4449186157,-0.140799410688,0.0649022549035,0.6540250524917035,0.761058820286613
oo1415_3_A,mld,2463.16940699,2156.12794265,390.946156742,-0.02858105885730425,0.44434171525867094
pipi1112_2_A,mld,5.44500490282,1.62618985752,-0.0150539442007,0.42973568699556186,0.7722863855083838
gg0304_8_A,mld,8.58126996249,0.0314069810214,0.00669819680035,0.5616500183183443,0.7062020071820977
pipu0617_6_A,mld,6.99621861704,-0.521823070015,-0.154567030715,0.15319692571484653,0.3258880470634853
blublu0916_4_A,mld,6.53673475796,1.03470518027,-0.242198880692,0.5927278918444021,0.4945150355973494
oo1712_4_A,mld,6.39322543903,0.545630283273,-0.184274199205,0.4189320701117598,0.3597948656114745
blabla1515_3_A,mld,-1407.94359777,7876.6650589,8245.47772709,0.0054952464440566305,0.8385538594660643
lghp1616_4_A,mld,5.16447640695,0.703028072465,-0.0438075261477,0.5844402543420187,0.5648256464931569
pipu1018_10_A,mld,5.72999660514,0.487590372649,-0.202085209111,0.32770821558756463,0.5846400176604907
gg0304_11_A,mld,6.1099162772,-0.508206247539,-0.0811612818096,0.3036120125412738,0.292897953580092
pipu0617_8_A,mld,6.08392019319,0.0183871751229,0.0130793310755,0.36157619113932404,0.4241970754259664
gg0304_12_A,mld,5.51043236289,0.246233339759,-0.0505361468789,0.3872944704410179,0.4415592321540027
lghp1616_8_A,mld,6.3755356638,0.279447060225,0.0300793352139,0.5429263382857779,0.46251722040454535
blabla0713_2_A,mld,13892.5762047,7378.51482414,-1713.43034323,0.02663236355667599,0.7134789857095543
gg0304_4_A,mld,5.6700802006,2.50312554033,-0.0595209204455,0.1936990296568544,0.263236915890213
oo0108_1_A,mld,6.81802081849,1.55274843059,-0.113732654665,0.6368724948949578,0.771864705156311
oo0909_4_A,mld,11.264112121,-0.642476679698,0.0393674571801,0.37091900170044,0.578799046767581
blabla0713_6_A,mld,4.31166484355,1.63288561956,0.00800470709272,0.6114649448401772,0.9026506448708728
