cell,region,w,a1,a2,corr,eo
posp-rs-8,posp,5.24692087872,0.654649559279,-0.0196498597951,0.48127806223443376,0.7466238580386705
posp-rs-16,posp,6.31166313346,0.429319951715,-0.00923507148271,0.443670785982711,0.6226019121147847
posp-rs-3,posp,6.34484896754,0.513524004485,-0.0132478810329,0.6061830902560078,0.7347336373326177
posp-rs-18,posp,8.63057470854,-0.0288008167399,0.0115737807164,0.26904495418113344,0.8049670325509469
posp-rs-10,posp,8.78082523687,0.873934326754,-0.0293644992799,0.4641812527990374,0.8379519682206933
posp-rs-46,posp,5.36164725856,0.632232184438,-0.0186791496105,0.6508804494565699,0.7450931448916003
posp-rs-32,posp,9.64671707292,0.850937037729,-0.0281408509252,0.4299122231456956,0.8517941602665192
posp-rs-14,posp,8.26078157301,0.808459853933,-0.0264912137478,0.6489573294773415,0.8484365052490941
posp-rs-42,posp,10.3103323219,1.28198156644,-0.0473007234441,0.6333321779410649,0.8461022882193492
posp-rs-24,posp,5.8385277862,0.525943017266,-0.0138510468562,0.34883208117434106,0.6637365295528257
posp-rs-54,posp,6.27550943266,0.552059010092,-0.0151357794448,0.6854287706169987,0.6892794007887064
posp-rs-44,posp,6.03832699243,0.487025857088,-0.0123789593916,0.5301607237002774,0.5351616041242735
posp-rs-33,posp,9.88883387782,1.17972965066,-0.0428379909582,0.6419043060972551,0.8348008466865802
posp-rs-50,posp,9.69111600534,0.96102191251,-0.033304390099,0.4876939492222119,0.8455311139761966
posp-rs-58,posp,7.96316362921,0.975993024074,-0.0341836736996,0.632046656692968,0.8446834525575277
posp-rs-28,posp,6.80810749907,0.565123207302,-0.0150894686746,0.6006522335476177,0.6586748386437942
posp-rs-40,posp,9.47680863427,1.04087277775,-0.0369843666951,0.46732607134765425,0.8078136249688371
posp-rs-4,posp,9.62454460935,1.05539897723,-0.0372495836621,0.49505319280270266,0.7832932892985512
posp-rs-21,posp,5.7598534068,0.748573837111,-0.0240055860564,0.7392249126496293,0.7439005385530845
posp-rs-49,posp,10.3091692419,1.4813721527,-0.0567076000298,0.710174448241516,0.850179366615672
posp-rs-52,posp,6.0671142387,0.483867635008,-0.0119780318789,0.49264606866815985,0.6872731292473755
posp-rs-34,posp,6.48173786547,0.674489160641,-0.020199555045,0.6394442220328317,0.660028300918453
posp-rs-27,posp,4.99348742383,0.780999685305,-0.0253073712266,0.36447199956199566,0.7227047196726646
posp-rs-20,posp,5.61167700363,0.712673480928,-0.0221459613377,0.6601346291263352,0.6959042388160515
posp-rs-2,posp,5.51887960397,0.792470549643,-0.0254969072221,0.7480865530112846,0.7836459006851364
posp-rs-47,posp,6.62958025167,0.748360373883,-0.0237807719148,0.5778967591439931,0.7375997374090809
posp-rs-48,posp,9.88459551843,1.71040647914,-0.0674485317379,0.7523065104251139,0.8558067156518598
posp-rs-0,posp,4.26010208925,0.827179217783,-0.0270910202922,0.6962947473049917,0.766752604922726
posp-rs-57,posp,9.65487257556,0.0714233975245,0.00689581260564,0.4773149006036703,0.8623474175049999
posp-rs-53,posp,10.7616277733,1.34386955245,-0.0507242663236,0.6467073596904509,0.8430352704554097
posp-rs-43,posp,6.13752735139,0.516488788007,-0.0129761112654,0.5875215289998512,0.6609834570548578
posp-rs-13,posp,9.2656328211,1.02742948794,-0.0361920137435,0.7094041167565033,0.8143602891084534
posp-rs-39,posp,5.62298592825,0.659776035709,-0.0198759483286,0.6989261114925922,0.6771840358517935
posp-rs-51,posp,5.78742758633,0.75768743424,-0.0241428613697,0.694481789850274,0.7477178809964744
posp-rs-11,posp,8.7468447346,0.800781597588,-0.0259922279688,0.49255914214186997,0.8023655051849768
posp-rs-41,posp,6.44540833328,0.676237698595,-0.0200319363526,0.6939395073928573,0.7063881219210748
posp-rs-23,posp,6.07512651327,0.573057831606,-0.0154496340269,0.5364254184762196,0.6216344308363849
posp-rs-56,posp,9.28641358826,0.0662612529555,0.00726543256194,0.4974600155719656,0.8522461751562107
posp-rs-7,posp,8.61372161433,0.887225338539,-0.029996723552,0.4949982529220463,0.8187361805090082
posp-rs-12,posp,9.6433053228,1.12477299398,-0.0406203027308,0.6084121694813698,0.8233449019312346
posp-rs-55,posp,6.23966483137,0.60168273984,-0.0176661973846,0.6545227342908113,0.6456000323853527
posp-rs-9,posp,8.38845452803,0.713731500168,-0.0219796662198,0.574267676514825,0.7837004605055748
posp-rs-29,posp,8.36412985381,0.712998461631,-0.0217856001617,0.4330542024610474,0.8075785508346129
posp-rs-37,posp,9.48366651253,0.806218980359,-0.0260897324935,0.7669385241726538,0.8780055873642001
posp-rs-30,posp,6.43630072821,0.474881492927,-0.0112084248694,0.5791715752254245,0.5695089511434199
posp-rs-17,posp,5.95489973122,0.41410951465,-0.00830279939451,0.416841802281514,0.7202446188865614
posp-rs-38,posp,8.71269409347,0.67307970998,-0.0201958828494,0.30296034902453156,0.8313130729132132
posp-rs-35,posp,5.99218572226,0.61162448476,-0.0176989526589,0.4834213860882532,0.6390099616005462
posp-rs-5,posp,8.06317758249,0.453971598224,-0.0103446545094,0.4753693268986591,0.857246953966833
posp-rs-22,posp,5.80982124553,0.474854193751,-0.0111618306913,0.5745097981427189,0.7445745640498945
posp-rs-36,posp,6.75195759131,0.607773429083,-0.0175012903447,0.6550911326437087,0.6336006262766194
posp-rs-1,posp,6.50754546112,0.753825245485,-0.024323829831,0.7070313217139528,0.7349603150248335
posp-rs-31,posp,6.26995435469,0.651400599595,-0.0191118675515,0.4406776243333467,0.6965306640528971
posp-rs-15,posp,6.42706986817,0.713357028375,-0.0223489338465,0.6396476024266915,0.6687323635333242
posp-rs-19,posp,8.03197186906,0.327601871791,-0.00418632726586,0.5086309633438534,0.8393740951423488
posp-rs-25,posp,6.49779172435,0.591604137637,-0.0168279777185,0.45511267810102907,0.5713479249866755
posp-rs-45,posp,6.22975159513,0.682839998308,-0.0211148201438,0.4377859921800502,0.6624150198266902
b-tonic-32,tonic,9.84948815867,20.3687709122,-0.437336013936,0.3898508313815404,0.6442433945053024
b-tonic-26,tonic,8.5800846866,16.9527252087,-0.36177669011,0.5074630797753749,0.6382332695812171
b-tonic-59,tonic,7.53606661513,16.1307114028,-0.485349120608,0.6166345154818789,0.6759859657996674
b-tonic-40,tonic,10.1973768636,18.3735952749,-0.344426274889,0.5216885878777114,0.6023148984548083
b-tonic-36,tonic,7.59909849211,12.3015876861,-0.48657698378,0.6639556651961882,0.6374331061474241
b-tonic-54,tonic,7.26027666068,22.439065576,-0.592885584451,0.5726433403442833,0.6561775798142437
b-tonic-35,tonic,6.94563701834,13.7911866593,-0.542186286627,0.6292742980313918,0.6254381092380158
b-tonic-25,tonic,7.37152341804,10.263388363,-0.432130560656,0.48537309275550256,0.6075393655562698
b-tonic-39,tonic,6.62276327722,15.2011639416,-0.548294453121,0.47299348266125074,0.6859918369185359
b-tonic-10,tonic,8.87625808422,16.6056621453,-0.285425587409,0.35912898639918983,0.6552788956849056
b-tonic-3,tonic,7.42287191741,22.008168416,-0.458837932882,0.563887976032305,0.6292836569983244
b-tonic-14,tonic,8.79129151073,14.4707023426,-0.311549134009,0.368732821195765,0.6244307484391587
b-tonic-31,tonic,7.34420293154,17.2636523978,-0.480218543711,0.6238616290104686,0.6643680742529559
b-tonic-0,tonic,5.75116946953,21.1409424547,-0.505667066701,0.5104933735209024,0.5473031479973147
b-tonic-37,tonic,10.3291662625,15.7188680002,-0.319228790893,0.5114887884322448,0.620093824921503
b-tonic-1,tonic,7.47602931917,19.4965346046,-0.495488319965,0.6169477763808898,0.6707795601014598
b-tonic-12,tonic,10.2573244404,18.3605972723,-0.311471126259,0.5067972182057995,0.644100275764365
